Datum,Starters,Stoppers,Totaal_ondernemingen
2021-01-01,2141.0,-1555.0,141060.0
2021-02-01,1561.0,-775.0,142014.0
2021-03-01,1289.0,-1023.0,142398.0
2021-04-01,2238.0,-1130.0,143744.0
2021-05-01,1297.0,-563.0,144633.0
2021-06-01,985.0,-774.0,144965.0
2021-07-01,1518.0,-888.0,145742.0
2021-08-01,967.0,-443.0,146365.0
2021-09-01,860.0,-700.0,146625.0
2021-10-01,1704.0,-876.0,147621.0
2021-11-01,1098.0,-667.0,148143.0
2021-12-01,856.0,-1065.0,147883.0
2022-01-01,2000.0,-1566.0,148600.0
2022-02-01,1349.0,-874.0,149185.0
2022-03-01,1061.0,-1055.0,149311.0
2022-04-01,1803.0,-1096.0,150274.0
2022-05-01,1080.0,-634.0,150946.0
2022-06-01,854.0,-869.0,151183.0
2022-07-01,1413.0,-994.0,151805.0
2022-08-01,905.0,-558.0,152254.0
2022-09-01,899.0,-819.0,152476.0
2022-10-01,1770.0,-942.0,153493.0
2022-11-01,1179.0,-612.0,154159.0
2022-12-01,911.0,-1279.0,154226.0
2023-01-01,2096.0,-1940.0,154598.0
2023-02-01,1356.0,-859.0,155249.0
2023-03-01,1131.0,-1272.0,155202.0
2023-04-01,1717.0,-1213.0,155916.0
2023-05-01,1165.0,-772.0,156415.0
2023-06-01,961.0,-1051.0,156441.0
2023-07-01,1506.0,-1173.0,156945.0
2023-08-01,880.0,-549.0,157380.0
2023-09-01,881.0,-896.0,157416.0
2023-10-01,1707.0,-1129.0,158199.0
2023-11-01,1044.0,-734.0,158670.0
2023-12-01,794.0,-1416.0,158123.0
2024-01-01,2111.0,-2045.0,158597.0
2024-02-01,1492.0,-933.0,159282.0
2024-03-01,1015.0,-1161.0,159251.0
2024-04-01,1789.0,-1325.0,159901.0
2024-05-01,1074.0,-816.0,160258.0
2024-06-01,766.0,-1025.0,160082.0
2024-07-01,1374.0,-1286.0,160320.0
2024-08-01,825.0,-643.0,160599.0
2024-09-01,746.0,-873.0,160576.0
2024-10-01,1895.0,-1243.0,161434.0
2024-11-01,957.0,-707.0,161789.0
2024-12-01,626.0,-1593.0,160880.0
2025-01-01,2147.0,-2096.0,161161.0
2025-02-01,1236.0,-888.0,161651.0
2025-03-01,738.0,-823.0,161652.0
2025-04-01,1081.0,-1581.0,161372.0
2025-05-01,682.0,-812.0,161371.0
