Jaar,Starters,Stoppers,Totaal_ondernemingen
2008,9230.0,5893.0,99205.0
2009,8304.0,6673.0,101021.0
2010,8865.0,6374.0,103815.0
2011,9831.0,6698.0,107281.0
2012,9328.0,6861.0,109715.0
2013,9033.0,7737.0,111119.0
2014,9891.0,8064.0,113073.0
2015,10152.0,7410.0,116030.0
2016,10692.0,6905.0,120022.0
2017,11104.0,7698.0,123494.0
2018,11725.0,7995.0,127505.0
2019,14313.0,8838.0,132727.0
2020,15747.0,8330.0,139473.0
2021,17462.0,9678.0,147883.0
2022,16020.0,10530.0,153894.0
2023,16076.0,12150.0,158123.0
